iter	Passed	Remaining
0	140	140289
1	144	72335
2	149	49809
3	153	38298
4	156	31202
5	159	26445
6	162	23100
7	165	20572
8	168	18600
9	171	16994
10	174	15658
11	176	14551
12	179	13628
13	181	12794
14	183	12030
15	184	11355
16	186	10764
17	187	10238
18	189	9772
19	190	9350
20	192	8979
21	194	8633
22	195	8311
23	197	8016
24	198	7745
25	200	7495
26	201	7264
27	203	7051
28	204	6851
29	206	6666
30	207	6495
31	209	6329
32	210	6174
33	212	6025
34	213	5884
35	214	5753
36	216	5629
37	217	5515
38	219	5403
39	220	5295
40	222	5196
41	223	5101
42	225	5008
43	226	4919
44	227	4834
45	229	4753
46	230	4675
47	231	4600
48	233	4528
49	234	4459
50	236	4397
51	237	4333
52	239	4272
53	240	4212
54	241	4155
55	243	4099
56	244	4047
57	246	3995
58	247	3946
59	248	3897
60	250	3852
61	251	3807
62	253	3766
63	254	3723
64	255	3681
65	257	3641
66	258	3602
67	259	3556
68	260	3519
69	262	3484
70	263	3449
71	265	3418
72	266	3385
73	268	3356
74	269	3325
75	271	3295
76	272	3266
77	273	3237
78	275	3208
79	276	3180
80	277	3153
81	279	3127
82	280	3102
83	282	3077
84	283	3048
85	284	3024
86	285	2996
87	286	2974
88	288	2951
89	289	2930
90	291	2908
91	292	2887
92	294	2868
93	295	2848
94	296	2828
95	298	2809
96	299	2790
97	301	2771
98	302	2753
99	303	2735
100	305	2718
101	306	2694
102	307	2677
103	309	2662
104	310	2646
105	311	2629
106	313	2615
107	314	2599
108	316	2583
109	317	2568
110	318	2553
111	320	2538
112	321	2523
113	322	2509
114	324	2495
115	325	2480
116	327	2468
117	328	2458
118	329	2443
119	331	2430
120	332	2416
121	334	2404
122	334	2387
123	336	2374
124	337	2362
125	339	2351
126	340	2342
127	341	2327
128	343	2318
129	344	2307
130	346	2296
131	347	2285
132	348	2274
133	350	2263
134	351	2253
135	353	2244
136	354	2235
137	355	2223
138	357	2214
139	358	2204
140	360	2194
141	361	2184
142	362	2175
143	364	2165
144	365	2156
145	367	2147
146	368	2139
147	370	2132
148	372	2126
149	374	2119
150	375	2112
151	377	2104
152	378	2095
153	379	2087
154	381	2078
155	383	2072
156	384	2065
157	386	2057
158	387	2049
159	388	2041
160	390	2034
161	391	2026
162	393	2018
163	394	2011
164	395	2003
165	397	1997
166	398	1989
167	400	1982
168	401	1974
169	403	1968
170	404	1961
171	406	1954
172	407	1947
173	408	1940
174	410	1933
175	411	1927
176	413	1920
177	414	1914
178	415	1907
179	417	1900
180	418	1891
181	419	1884
182	420	1878
183	422	1871
184	423	1865
185	424	1859
186	426	1854
187	427	1848
188	429	1841
189	430	1835
190	432	1830
191	433	1824
192	435	1819
193	436	1813
194	437	1807
195	439	1801
196	440	1796
197	442	1790
198	443	1785
199	444	1779
200	446	1774
201	447	1769
202	449	1763
203	450	1758
204	451	1752
205	453	1747
206	454	1742
207	456	1737
208	457	1732
209	459	1727
210	460	1722
211	462	1717
212	463	1712
213	464	1707
214	466	1702
215	467	1697
216	469	1692
217	470	1688
218	471	1683
219	473	1678
220	474	1673
221	475	1668
222	477	1663
223	478	1658
224	480	1653
225	481	1650
226	483	1645
227	484	1642
228	486	1637
229	487	1633
230	489	1628
231	490	1623
232	492	1620
233	493	1616
234	495	1611
235	496	1608
236	498	1604
237	500	1601
238	501	1597
239	503	1592
240	504	1588
241	505	1584
242	507	1580
243	508	1575
244	509	1571
245	511	1567
246	512	1563
247	514	1558
248	515	1554
249	516	1550
250	518	1546
251	519	1542
252	520	1537
253	522	1534
254	523	1530
255	525	1526
256	526	1522
257	528	1518
258	529	1515
259	530	1510
260	532	1507
261	533	1502
262	534	1499
263	536	1495
264	537	1491
265	539	1488
266	540	1484
267	542	1480
268	543	1476
269	544	1472
270	546	1469
271	547	1465
272	548	1461
273	550	1457
274	551	1454
275	553	1450
276	554	1447
277	555	1443
278	557	1440
279	558	1437
280	560	1433
281	561	1430
282	563	1427
283	564	1423
284	566	1421
285	567	1417
286	569	1414
287	570	1410
288	571	1407
289	573	1404
290	575	1401
291	576	1397
292	577	1394
293	579	1391
294	580	1387
295	582	1384
296	583	1381
297	584	1377
298	586	1374
299	587	1371
300	589	1368
301	590	1364
302	591	1361
303	593	1358
304	594	1355
305	596	1351
306	597	1349
307	598	1345
308	600	1342
309	601	1339
310	603	1336
311	604	1333
312	605	1330
313	607	1326
314	608	1323
315	610	1320
316	611	1317
317	612	1314
318	614	1311
319	615	1308
320	617	1305
321	618	1302
322	620	1299
323	621	1296
324	622	1293
325	624	1290
326	625	1287
327	627	1284
328	628	1281
329	629	1278
330	631	1276
331	632	1273
332	634	1270
333	635	1267
334	636	1264
335	638	1261
336	639	1258
337	641	1255
338	642	1252
339	643	1249
340	645	1247
341	646	1244
342	648	1241
343	649	1238
344	650	1235
345	652	1232
346	653	1230
347	655	1227
348	656	1224
349	657	1221
350	659	1218
351	660	1216
352	662	1213
353	663	1211
354	665	1208
355	666	1205
356	667	1202
357	669	1199
358	670	1197
359	671	1194
360	673	1191
361	674	1188
362	675	1186
363	677	1183
364	678	1180
365	680	1178
366	681	1175
367	683	1173
368	684	1170
369	685	1168
370	687	1165
371	688	1162
372	690	1160
373	691	1157
374	693	1155
375	694	1152
376	695	1149
377	697	1147
378	698	1144
379	699	1141
380	701	1139
381	702	1136
382	704	1134
383	705	1131
384	707	1129
385	708	1127
386	709	1124
387	711	1122
388	712	1119
389	714	1116
390	715	1114
391	716	1111
392	718	1109
393	719	1106
394	721	1105
395	723	1102
396	724	1100
397	726	1098
398	727	1096
399	729	1093
400	730	1091
401	732	1088
402	733	1086
403	735	1084
404	736	1081
405	737	1079
406	739	1076
407	740	1074
408	741	1072
409	743	1069
410	744	1066
411	746	1064
412	747	1062
413	750	1061
414	752	1061
415	754	1059
416	756	1058
417	758	1056
418	762	1057
419	764	1056
420	767	1054
421	769	1053
422	770	1051
423	772	1049
424	774	1047
425	777	1047
426	780	1046
427	782	1045
428	784	1043
429	786	1042
430	788	1040
431	790	1038
432	792	1037
433	794	1036
434	796	1034
435	798	1033
436	800	1031
437	802	1029
438	804	1027
439	806	1026
440	808	1025
441	810	1023
442	812	1021
443	814	1020
444	816	1018
445	818	1017
446	821	1016
447	823	1014
448	825	1013
449	827	1011
450	829	1010
451	832	1008
452	833	1006
453	835	1005
454	838	1004
455	840	1003
456	843	1001
457	845	1000
458	847	999
459	851	999
460	853	998
461	855	996
462	857	995
463	860	993
464	862	992
465	864	991
466	867	989
467	869	988
468	870	986
469	872	984
470	873	981
471	875	979
472	876	977
473	878	974
474	879	972
475	881	969
476	882	967
477	884	965
478	885	963
479	886	960
480	888	958
481	889	956
482	891	953
